factor,pi,time,minute
1,4.0,2021-12-15 03:00:04,0
1,4.0,2021-12-15 03:01:04,1
8,3.017071817071818,2021-12-15 03:02:04,2
27,3.1786170109992202,2021-12-15 03:03:04,3
64,3.125968606973288,2021-12-15 03:04:04,4
125,3.1495925256000317,2021-12-15 03:05:04,5
216,3.1369630487667557,2021-12-15 03:06:04,6
343,3.1445080992896712,2021-12-15 03:07:04,7
512,3.139639530452431,2021-12-15 03:08:04,8
729,3.1429643950569854,2021-12-15 03:09:04,9
1000,3.140592653839794,2021-12-15 03:10:04,10
1331,3.14234396828467,2021-12-15 03:11:04,11
1728,3.141013949934539,2021-12-15 03:12:04,12
2197,3.142047819701858,2021-12-15 03:13:04,13
2744,3.1412282221150143,2021-12-15 03:14:04,14
3375,3.14188894987959,2021-12-15 03:15:04,15
4096,3.141348512968434,2021-12-15 03:16:04,16
4913,3.1417961952119438,2021-12-15 03:17:04,17
5832,3.141421185826989,2021-12-15 03:18:04,18
6859,3.141738447436511,2021-12-15 03:19:04,19
8000,3.141467653590268,2021-12-15 03:20:04,20
9261,3.141700633289284,2021-12-15 03:21:04,21
10648,3.141498739239878,2021-12-15 03:22:04,22
12167,3.141674843118693,2021-12-15 03:23:04,23
13824,3.141520315626915,2021-12-15 03:24:04,24
15625,3.141656653589722,2021-12-15 03:25:04,25
17576,3.1415357578228837,2021-12-15 03:26:04,26
19683,3.1416434588531876,2021-12-15 03:27:04,27
21952,3.141547099653953,2021-12-15 03:28:04,28
24389,3.1416336556808755,2021-12-15 03:29:04,29
27000,3.1415556165527665,2021-12-15 03:30:04,30
29791,3.1416262207744947,2021-12-15 03:31:04,31
32768,3.1415621360116797,2021-12-15 03:32:04,32
35937,3.1416204800638963,2021-12-15 03:33:04,33
39304,3.141567210886769,2021-12-15 03:34:04,34
42875,3.1416159772049452,2021-12-15 03:35:04,35
46656,3.1415712201192867,2021-12-15 03:36:04,36
50653,3.141612395757074,2021-12-15 03:37:04,37
54872,3.1415744293588412,2021-12-15 03:38:04,38
59319,3.141609511594793,2021-12-15 03:39:04,39
64000,3.141577028589768,2021-12-15 03:40:04,40
68921,3.141607162955563,2021-12-15 03:41:04,41
74088,3.1415791561272712,2021-12-15 03:42:04,42
79507,3.141605231098648,2021-12-15 03:43:04,43
85184,3.1415809142959636,2021-12-15 03:44:04,44
91125,3.1416036275266306,2021-12-15 03:45:04,45
97336,3.141582379898584,2021-12-15 03:46:04,46
103823,3.1416022853668917,2021-12-15 03:47:04,47
110592,3.1415836113443634,2021-12-15 03:48:04,48
117649,3.1416011534494763,2021-12-15 03:49:04,49
125000,3.141584653589728,2021-12-15 03:50:04,50
132651,3.1416001921684225,2021-12-15 03:51:04,51
140608,3.1415855416188876,2021-12-15 03:52:04,52
148877,3.141599370544006,2021-12-15 03:53:04,53
157464,3.1415863029318056,2021-12-15 03:54:04,54
166375,3.141598664108154,2021-12-15 03:55:04,55
175616,3.141586959347785,2021-12-15 03:56:04,56
185193,3.1415980533619163,2021-12-15 03:57:04,57
195112,3.1415875283283916,2021-12-15 03:58:04,58
205379,3.141597522636734,2021-12-15 03:59:04,59
